model,scenario,resource_score,Region
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.0,R10REST_ASIA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.0,R10REST_ASIA
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.0,R10REST_ASIA
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.0,R10REST_ASIA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.0,R10REST_ASIA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.0,R10REST_ASIA
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.0,R10REST_ASIA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,2.215814166199008,R10REST_ASIA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,2.2157951783764283,R10REST_ASIA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,2.215814166199008,R10REST_ASIA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),2.215814166199008,R10REST_ASIA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,3.490612878157041,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.0,R10REST_ASIA
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.0,R10REST_ASIA
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.0,R10REST_ASIA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1.1423326749250953,R10REST_ASIA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1.1423326749250953,R10REST_ASIA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1.1457254438133253,R10REST_ASIA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1.147941389154977,R10REST_ASIA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,4.758584572013188,R10REST_ASIA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,4.756657604615871,R10REST_ASIA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,4.800724789309031,R10REST_ASIA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1.4061083581885188,R10REST_ASIA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,4.330272858808423,R10REST_ASIA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,7.255433979496365,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1000,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1200,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1400,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-500f,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-600f,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-700f,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-800,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-800f,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-900,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-900f,0.0,R10REST_ASIA
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.0,R10REST_ASIA
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-NPi2020-1000,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-NPi2020-1200,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-NPi2020-1400,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.2416718886298237,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.0056945101199,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.2321510564371054,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.0,R10PAC_OECD
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.0,R10PAC_OECD
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.0,R10PAC_OECD
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.0,R10PAC_OECD
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.0,R10PAC_OECD
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.0,R10PAC_OECD
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.0,R10PAC_OECD
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,2.215814166199008,R10PAC_OECD
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,2.2157951783764283,R10PAC_OECD
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,2.215814166199008,R10PAC_OECD
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),2.215814166199008,R10PAC_OECD
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,3.490612878157041,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.0,R10PAC_OECD
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.0,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.0,R10PAC_OECD
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1.1423326749250953,R10PAC_OECD
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1.1423326749250953,R10PAC_OECD
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1.1457254438133253,R10PAC_OECD
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1.147941389154977,R10PAC_OECD
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,4.758584572013188,R10PAC_OECD
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,4.756657604615871,R10PAC_OECD
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,4.800724789309031,R10PAC_OECD
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1.4061083581885188,R10PAC_OECD
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,4.330272858808423,R10PAC_OECD
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,7.255433979496365,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1000,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1200,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1400,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-500f,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-600f,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-700f,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-800,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-800f,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-900,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-900f,0.0,R10PAC_OECD
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.0,R10PAC_OECD
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-NPi2020-1000,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-NPi2020-1200,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-NPi2020-1400,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.2416718886298237,R10REF_ECON
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.0056945101199,R10REF_ECON
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.2321510564371054,R10REF_ECON
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.0,R10REF_ECON
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.0,R10REF_ECON
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.0,R10REF_ECON
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.0,R10REF_ECON
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.0,R10REF_ECON
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.0,R10REF_ECON
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.0,R10REF_ECON
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,2.215814166199008,R10REF_ECON
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,2.2157951783764283,R10REF_ECON
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,2.215814166199008,R10REF_ECON
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),2.215814166199008,R10REF_ECON
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,3.490612878157041,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.0,R10REF_ECON
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.0,R10REF_ECON
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.0,R10REF_ECON
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1.1423326749250953,R10REF_ECON
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1.1423326749250953,R10REF_ECON
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1.1457254438133253,R10REF_ECON
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1.147941389154977,R10REF_ECON
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,4.758584572013188,R10REF_ECON
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,4.756657604615871,R10REF_ECON
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,4.800724789309031,R10REF_ECON
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1.4061083581885188,R10REF_ECON
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,4.330272858808423,R10REF_ECON
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,7.255433979496365,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1000,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1200,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1400,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-500f,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-600f,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-700f,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-800,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-800f,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-900,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-900f,0.0,R10REF_ECON
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.0,R10REF_ECON
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.0,R10NORTH_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.0,R10NORTH_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.0,R10NORTH_AM
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.0,R10NORTH_AM
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.0,R10NORTH_AM
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.0,R10NORTH_AM
IMAGE 3.0,ENGAGE-NPi2020-1000,0.0,R10NORTH_AM
IMAGE 3.0,ENGAGE-NPi2020-1200,0.0,R10NORTH_AM
IMAGE 3.0,ENGAGE-NPi2020-1400,0.0,R10NORTH_AM
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1.2416718886298237,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1.0056945101199,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1.2321510564371054,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.0,R10NORTH_AM
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.0,R10NORTH_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.0,R10NORTH_AM
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.0,R10NORTH_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.0,R10NORTH_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.0,R10NORTH_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.0,R10NORTH_AM
